date,Labor2ppAUS,Pollster
14/08/04,54,Newspoll
15/08/04,53,Nielsen
20/08/04,55.5,Morgan
28/08/04,52,Newspoll
4/09/04,50,Newspoll
5/09/04,50,Nielsen
10/09/04,54.5,Morgan
11/09/04,50,Newspoll
16/09/04,49,Nielsen
17/09/04,53,Morgan
18/09/04,52.5,Newspoll
20/09/04,49,Galaxy
23/09/04,46,Nielsen
24/09/04,50,Morgan
25/09/04,52,Newspoll
1/10/04,51.5,Morgan
2/10/04,48,Nielsen
2/10/04,49.5,Newspoll
4/10/04,48,Galaxy
5/10/04,49.5,Morgan
6/10/04,51,Morgan
7/10/04,46,Nielsen
7/10/04,50,Newspoll
15/10/04,47.5,Morgan
3/11/04,47,Morgan
19/11/04,49.5,Morgan
20/11/04,47,Newspoll
4/12/04,45,Newspoll
17/12/04,47.5,Morgan
18/12/04,48,Newspoll
14/01/05,47,Morgan
22/01/05,43,Nielsen
22/01/05,47,Newspoll
28/01/05,48.5,Morgan
5/02/05,46,Newspoll
11/02/05,48,Morgan
13/02/05,48,Nielsen
19/02/05,47,Newspoll
25/02/05,48,Morgan
4/03/05,52,Morgan
5/03/05,48,Newspoll
11/03/05,48,Morgan
13/03/05,52,Nielsen
19/03/05,46,Newspoll
25/03/05,49.5,Morgan
2/04/05,51,Newspoll
6/04/05,52,Morgan
8/04/05,53,Morgan
10/04/05,52,Nielsen
16/04/05,49,Newspoll
22/04/05,51,Morgan
30/04/05,48,Newspoll
8/05/05,51,Nielsen
13/05/05,50.5,Morgan
14/05/05,49,Newspoll
27/05/05,48.5,Morgan
28/05/05,47,Newspoll
5/06/05,49,Nielsen
10/06/05,50,Morgan
18/06/05,49,Newspoll
24/06/05,50.5,Morgan
2/07/05,50,Newspoll
3/07/05,54,Nielsen
5/07/05,52,Morgan
8/07/05,51,Morgan
16/07/05,49,Newspoll
22/07/05,50.5,Morgan
30/07/05,51,Newspoll
31/07/05,52,Nielsen
2/08/05,48.5,Morgan
13/08/05,48,Newspoll
19/08/05,53.5,Morgan
27/08/05,51,Newspoll
28/08/05,50,Nielsen
31/08/05,50.5,Morgan
9/09/05,53,Morgan
10/09/05,51,Newspoll
16/09/05,47.5,Morgan
24/09/05,47,Newspoll
25/09/05,49,Nielsen
8/10/05,49,Newspoll
14/10/05,53,Morgan
22/10/05,54,Newspoll
23/10/05,52,Nielsen
28/10/05,53,Morgan
4/11/05,54,Morgan
5/11/05,51,Newspoll
10/11/05,49,Morgan
19/11/05,54,Newspoll
20/11/05,58,Nielsen
25/11/05,57,Morgan
3/12/05,54,Newspoll
9/12/05,54,Morgan
16/12/05,52,Morgan
17/12/05,51,Newspoll
18/12/05,55,Nielsen
13/01/06,54,Morgan
14/01/06,48,Newspoll
27/01/06,50,Morgan
28/01/06,48,Newspoll
29/01/06,49,Nielsen
3/02/06,52.5,Morgan
11/02/06,51,Newspoll
17/02/06,52.5,Morgan
25/02/06,51,Newspoll
26/02/06,52,Nielsen
28/02/06,54,Morgan
11/03/06,47,Newspoll
17/03/06,49,Morgan
25/03/06,53,Newspoll
26/03/06,50,Nielsen
8/04/06,52,Newspoll
14/04/06,54,Morgan
23/04/06,51,Nielsen
28/04/06,51.5,Morgan
29/04/06,49,Newspoll
5/05/06,53.5,Morgan
12/05/06,51,Morgan
13/05/06,50,Newspoll
20/05/06,54,Nielsen
26/05/06,51.5,Morgan
27/05/06,52,Newspoll
9/06/06,53,Morgan
17/06/06,51,Nielsen
17/06/06,49,Newspoll
23/06/06,51,Morgan
1/07/06,53,Newspoll
7/07/06,53.5,Morgan
14/07/06,48,Morgan
15/07/06,52,Nielsen
15/07/06,52,Newspoll
28/07/06,53.5,Morgan
29/07/06,50,Newspoll
5/08/06,51,Newspoll
11/08/06,53,Morgan
12/08/06,53,Nielsen
12/08/06,49,Newspoll
25/08/06,54,Morgan
26/08/06,51,Newspoll
8/09/06,55,Morgan
9/09/06,52,Nielsen
9/09/06,53,Newspoll
22/09/06,53,Morgan
23/09/06,53,Newspoll
3/10/06,52.5,Morgan
6/10/06,54.5,Morgan
7/10/06,54,Nielsen
14/10/06,52,Newspoll
20/10/06,53,Morgan
28/10/06,52,Newspoll
1/11/06,52.5,Morgan
4/11/06,56,Nielsen
11/11/06,50,Newspoll
17/11/06,53,Morgan
25/11/06,51,Newspoll
2/12/06,56,Nielsen
8/12/06,59,Morgan
9/12/06,55,Newspoll
15/12/06,59,Morgan
12/01/07,57.5,Morgan
20/01/07,55,Newspoll
26/01/07,54.5,Morgan
2/02/07,57.5,Morgan
3/02/07,56,Newspoll
16/02/07,57,Morgan
17/02/07,54,Newspoll
23/02/07,61.5,Morgan
2/03/07,61.5,Morgan
3/03/07,57,Newspoll
9/03/07,61,Morgan
10/03/07,61,Nielsen
16/03/07,58.5,Morgan
17/03/07,61,Newspoll
29/03/07,60,Morgan
31/03/07,57,Newspoll
13/04/07,59.5,Morgan
14/04/07,59,Newspoll
27/04/07,61,Morgan
28/04/07,57,Newspoll
4/05/07,60,Morgan
11/05/07,59.5,Morgan
12/05/07,59,Newspoll
14/05/07,57,Galaxy
18/05/07,60,Morgan
19/05/07,57,Newspoll
22/05/07,55,Newspoll
25/05/07,57.5,Morgan
26/05/07,60,Newspoll
1/06/07,58,Morgan
12/06/07,52,Galaxy
13/06/07,55,Morgan
16/06/07,57,Nielsen
16/06/07,56,Newspoll
20/06/07,58.5,Morgan
27/06/07,55,Galaxy
