2007 Federal Election House of Representatives First Preferences by Vote Type by Party by State [Event:13745 Phase:FinalResults Generated:2008-09-03T12:42:05 Cycle:349e38e7-5eda-4bc7-a4a0-805bff59620f Created:2008-08-13T17:22:12 Environment:TEST Site:Primary Server:TST-VTR04 Version:4.8.0.0],,,,,,,,,,,,,,,,,,,
StateAb,PartyAb,PartyNm,OrderOfAppearance,Contested,Nominations,Elected,OrdinaryVotes,OrdinaryPercentage,AbsentVotes,AbsentPercentage,ProvisionalVotes,ProvisionalPercentage,PrePollVotes,PrePollPercentage,PostalVotes,PostalPercentage,TotalVotes,TotalPercentage,TotalSwing
WA,SEP,Socialist Equality Party,11,1,1,0,124,0.01,19,0.02,0,0,9,0.01,5,0.01,157,0.01,0.01
WA,WWW,What Women Want (Australia),12,1,1,0,406,0.04,116,0.13,3,0.1,42,0.06,23,0.05,590,0.05,0.05
WA,IND,Independent,13,8,10,0,16250,1.68,1608,1.82,52,1.73,1330,1.85,710,1.48,19950,1.69,0.34
SA,LP,Liberal,1,11,11,5,340190,41.38,23102,39.39,569,30.01,24316,44.79,24444,47.76,412621,41.76,-5.64
SA,ALP,Australian Labor Party,2,11,11,6,360133,43.8,23448,39.98,966,50.95,21678,39.93,20414,39.89,426639,43.18,6.43
SA,GRN,The Greens,3,11,11,0,55643,6.77,6059,10.33,169,8.91,4085,7.53,2684,5.24,68640,6.95,1.51
SA,FFP,Family First,4,11,11,0,33323,4.05,3113,5.31,113,5.96,1989,3.66,1493,2.92,40031,4.05,-0.26
SA,DEM,Democrats,5,11,11,0,12023,1.46,1247,2.13,30,1.58,914,1.68,743,1.45,14957,1.51,-0.37
SA,ON,One Nation,6,3,3,0,1292,0.16,158,0.27,6,0.32,87,0.16,100,0.2,1643,0.17,-0.96
SA,NP,The Nationals,7,2,2,0,10769,1.31,446,0.76,7,0.37,520,0.96,678,1.32,12420,1.26,0.24
SA,CCE,Conservatives for Climate and Environment Incorporated,8,1,1,0,902,0.11,107,0.18,3,0.16,84,0.15,69,0.13,1165,0.12,0.12
SA,LDP,Liberty and Democracy Party,9,6,6,0,1204,0.15,272,0.46,6,0.32,99,0.18,56,0.11,1637,0.17,0.17
SA,WWW,What Women Want (Australia),10,2,2,0,1112,0.14,168,0.29,8,0.42,89,0.16,78,0.15,1455,0.15,0.15
